============================================================
GaiYa 启动性能完整报告
============================================================

总导入时间: 0.81秒

============================================================
Top 100 最耗时的函数调用
============================================================

         529571 function calls (515383 primitive calls) in 0.812 seconds

   Ordered by: cumulative time
   List reduced from 2026 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 platform.py:363(win32_ver)
       23    0.000    0.000    0.014    0.001 inspect.py:1252(getsource)
        1    0.000    0.000    0.014    0.014 parser.py:116(__init__)
    22870    0.007    0.000    0.014    0.000 _parser.py:261(get)
        1    0.000    0.000    0.014    0.014 platform.py:263(_syscmd_ver)
        1    0.000    0.000    0.014    0.014 subprocess.py:417(check_output)
        1    0.000    0.000    0.014    0.014 subprocess.py:506(run)
       23    0.000    0.000    0.013    0.001 inspect.py:1231(getsourcelines)
       23    0.000    0.000    0.013    0.001 inspect.py:1051(findsource)
        1    0.000    0.000    0.013    0.013 statistics_manager.py:1(<module>)
        2    0.000    0.000    0.012    0.006 request.py:1(<module>)
        1    0.000    0.000    0.012    0.012 feedparser.py:1(<module>)
        1    0.000    0.000    0.011    0.011 theme_manager.py:1(<module>)
        1    0.000    0.000    0.011    0.011 cookiejar.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
        1    0.000    0.000    0.010    0.010 zipfile.py:1(<module>)
        1    0.001    0.001    0.010    0.010 scene_editor.py:1(<module>)
        1    0.000    0.000    0.010    0.010 db_manager.py:1(<module>)


